主题,赞成数,反对数,留言数,持续时长
反映A7县泉塘星城国际小区所有消防专用通道被占用的问题,1,0,7,1
A3区金茂梅溪湖别墅违建现象非常严重,1,1,7,1
A市国王陵考古遗址公园一期整治项目周边环境常年恶劣,1,0,7,1
A2区火把山社区业主楼顶私堆大量建筑垃圾导致楼顶漏水严重,0,1,7,1
投诉A市金色家园万科物业随意涨价,0,0,7,1
建议开通A市火车站到洋湖湿地公园直达公交,0,0,7,1
A市树木岭菜市场这一块会拆迁么？,0,0,7,1
A1区鑫苑A1区鑫家楼盘严重质价不符,0,0,7,1
A市楚郡未来实验学校针对四年级学生上调学费是否违规？,0,0,7,1
A市普通上班族的生育津贴和医院生产费一分都不能报销吗？,0,0,7,1
A市香樟路与万家丽路交界处公交老占用右转车道，导致堵车,0,1,7,1
蒙华铁路A9市段中铁十五局二工区施工队拖欠农民工工资,0,0,7,1
A市西二环深夜超载货车超速行驶严重噪声污染严重扰民,0,0,7,1
A3区卓越浅水湾南门对面金毛房地产长期半夜施工！,0,0,7,1
A市黄花机场每天最早和最晚航班有规定吗,0,0,7,1
关于A3区金麓小区商品房上市交易的问题反映,0,0,7,1
A5区保利大都汇违规调规,0,0,7,1
A市云开一品套用住宅用地名义欺骗消费者,0,0,7,1
A1区扬帆小区夜市每个消防安全通道都有流动摊位,0,0,7,1
A市万家丽路与远大路交汇处的通道被乞讨人员占用,0,0,7,1
A市中粮北纬四期部门户型入口设计不合理，存在安全隐患,0,0,7,1
A市司门口老街老地方美食广场以虚假招商材料促成与商户签定合同,0,0,7,1
A市鑫天鑫城小区二次供水水质差劲，申请直供水为何这么困难？,0,0,7,1.0
A7县星沙镇星沙派小区开放商违法改建,0,0,7,1
请A5区莲湖村依法落实拆迁政策,0,0,7,1
A3区环卫局凌晨扰民！,0,0,7,1
A3区谷山庭院3期16栋3号电梯故障近一个月？,0,0,7,1
希望带着情怀提升A市规划建设水平带动经济发展,0,0,7,1
A4区第一湾小区物业强行断电,0,0,7,1
A市枫雅名苑小区一房两证问题何时能解决,0,0,7,1
A市北辰三角洲c2区3栋02户型和04户型入户门设计不合理,0,0,7,1
西地省普通话考试在线报名系统太让人无语了,0,0,7,1
A市北辰三角洲E4区4栋住宅楼居然有十多家酒店在营业,0,0,7,1
业主被A市德勤思写字楼开发商欺骗,0,0,7,1
咨询外地户口小孩在A市读书及三一众智新城规划的问题,0,0,7,1
反映A市购第二套房的困难,0,0,7,1
A3区德润园小区楼下餐饮店一天到晚油烟污染,0,0,7,1
投诉A市住建委官僚主义作风，绿地公馆房屋劣质外墙渗水严重,0,0,7,1
A市万润滨江天著忽悠业主延迟网签！,0,0,7,1
A7县北山镇青田村徐家老屋旁火车声音特别大,0,0,7,1
异地生育当地报销了，为什么在不能领取生育津贴？,0,0,7,1
省直机关第一幼儿园要求家长搞卫生,0,0,7,1
请A市加快大气污染蓝天保卫战环保力度,0,0,7,1
A1区A2区华庭负一楼车库又成垃圾场了,0,0,7,1
对远期A市地铁的建议,0,2,7,1
A3区奥克斯缔壹城物业默认其他业主更改消防设施,0,0,7,1
希望A2区富兴嘉城有一所普惠制幼儿园,0,0,7,1
A4区德雅路残疾人请求援助,0,0,7,1
A1区佳兆业时代广场排水偷工减料,0,0,7,1
A市侯家塘立交桥附近能否设置天桥,0,0,7,1
A市国王陵国家考古遗址公园周边管理混乱,0,0,7,1
A7县海伦春天小区物业放任垃圾堆在小区东南角空地上,0,0,7,1
A市老地方美食虚假招商，涉嫌金额上千万,0,0,7,1
A7县路口镇黄兴大道与路青线交叉路口的红绿灯错乱,0,0,7,1
春节燃放烟花爆竹影响A市区居民休息,0,0,7,1
请求恢复开通A市民公交139区间线路,0,0,7,1
A3区茶场村一队农民盼养老和医疗保障,0,0,7,1
A市南站候车厅内增设改签窗口的建议,0,0,7,1
反映A市浮恩阳光投资置业有限公司非法集资问题,0,0,7,1
异地生育当地报销了为什么不能领取生育津贴？,0,0,7,1
因修建城铁，A2区暮云新村道路成烂路,0,0,7,1
请求A市政府督促解决湖开小区市民正常供水问题,0,0,7,1
A市什么时候能实行独生子女护理假？,0,0,7,1
关于A3区金麓小区商品房上市交易的问题反映,0,0,7,1
投诉A市高新区佳境小区22栋的业主违建,0,0,7,1
A4区楚雅路北门里夜宵海鲜外卖餐馆油烟直接排放到住户家,0,0,7,1
A市地铁三号线文体中心站开元路南出入口何时施工,0,0,7,1
L市物业服务收费标准应考虑居民的经济承受能力,0,0,7,1
A市盈泉国际美容养生会所欺骗消费者,0,0,7,1
A2区通用时代小区居民希望尽快完成水改,0,0,7,1
咨询A7县农民自留地征收标准及村组集体用地征收费用划分问题,0,0,7,1
请按时清理A5区长安郡小区的生活垃圾,0,0,7,1
举报A4区楚江世纪城的传销窝点,0,0,7,1
A市长大建设集团彻夜施工，我们受不了了！,0,0,7,1
A2区南湖路森宇家园餐馆油烟扰民,0,0,7,1
反映西地省农业大学的孩子入读幼儿园一事,0,0,7,1
A市经开区城北污水厂内项目有消防栓布局不合理,0,0,7,1
A2区桂花坪街道君尚嘉筑小区地下车库的僵尸车谁管管啊,0,0,7,1
A市能不能提高医疗门诊报销范畴,0,0,7,1
2020西地省城乡居民医疗保险的报销比例是多少，门诊有没有报销？,0,0,7,1
反映A5区中航城丽园业主破坏小区绿化,0,0,7,1
A2区东能华府开发商未能按时交房,0,0,7,1
A市普通上班族的生育津贴还能领取吗？,0,0,7,1
A市机动车检验收费涨价是合理的吗,0,0,7,1
A3区王家湾西二环辅路与含浦路交叉口红绿灯设置不合理,0,0,7,1
A7县方略城市广场外面修地铁严重扰民,0,2,7,1
A市公交车273的线路怎么改了？,0,0,7,1
A市和馨园小区旁边的工地不分日夜的施工，合法吗,0,0,7,1
A7县泉塘街道楚役家园经常停电,0,0,7,1
A3区谷山庭院3期国家保障房的人防车库可以出售吗？,0,0,7,1
西地省交通技术学院西门附近违章搭建帐篷经营,0,0,7,1
A市橘子洲景区服务不体恤百姓,4,6,4,30.0
A市702公交车难等,0,0,3,40.0
A4区悦湖山小区多物业管理混乱，多次发生安全事故,3,0,5,17.0
投诉A市金六福珠宝欺诈消费者,2,0,5,17.0
西地省山千制药机械股份有限公司拖欠A7县工人工资近半年,13,0,5,16.0
A3区含浦镇马路卫生很差,0,0,6,6.0
A市大同瑞致小学南面违规垃圾堆放点严重污染环境,1,0,4,25.0
A市先导共享汽车爆胎，告知要我赔偿钢圈费,1,2,3,34.0
A3区楷林楼下的便利店光污染严重,0,0,5,13.0
居住在地铁3号线A7县松雅西地省站西北方向10万民众的心声,32,0,6,1
请在A2区楚府英才小学天桥那做好排水措施,1,1,5,12.0
反映A6区事业单位工作人员的工龄计算问题,21,0,6,1
A4区陡岭支路40号金属包装厂内违章建筑盼拆除,0,0,6,2.0
请问A7县泉星公园何时开工，工期多长？,12,0,6,1
A7县东一路公交首末站是临时的？,10,14,6,1
反映A5区建发泱玺雅苑学区划分的问题,9,0,6,1
A市市政建设开发有限公司对广铁职工住宅项目的操作合法吗？,9,2,6,1
反映A市城市交通存在的诸多问题,8,0,6,1
A7县江背镇的自来水主管为什么经常爆裂,6,0,6,1
恳请A7县依法拘留星沙K9县郡b栋302业主，并拆除他违章搭建的书房等,6,0,6,1
建议A7县X213公交等公交在荣盛花语城与星联线首末站中间增设一站,6,0,6,1
A7县泉塘泉星物流园a区7栋锦和超市后街公然摆放游戏赌博机,6,0,6,1
A7县泉塘泉星物流园废弃油烟排放管道存在安全隐患,6,0,6,1
A7县泉塘泉星物流园小区a7栋夜食尚饭店严重扰民,5,0,6,1
A市云开一品开发商欺诈业主，产权缩水30年,5,0,6,1
在A市楚行一卡通充值没成功，充值款也没退,5,0,6,1
A6区莲湖路18号居民房屋被污水淹了,3,0,5,11.0
请问A7县新安路泉塘公交首末站规划在哪个位置,4,0,6,1
A市余易贷P2P诈骗平台受害者民生艰难,4,0,6,1
A7县星沙八医院对病人置之不理,4,1,6,1
反映A7县漓楚路和东七路振兴加油站搬迁问题,4,0,6,1
请问A市什么时候能普及5G网络？,4,1,6,1
对A2区环保局关于“食在我家”饭店餐饮油烟扰民等问题的回复存疑,4,0,6,1
A5区建发泱玺雅苑学区划分不合理,4,0,6,1
A市北辰定江洋小区住改商问题盼解决,3,2,6,1
A7县星沙丁家岭安置区5栋对面一麻将馆通宵扰民,3,0,6,1
A市财富名园空地多年，严重影响市容市貌,2,0,6,1
A市移动宽带胡乱收取安装费用,2,0,6,1
盼A6区、星沙公交车纳入app查询,2,0,6,1
举报A2区红磨坊歌厅长期无证非法经营并严重扰民,2,0,6,1
恳请处理A7县泉塘街道A1区国里楼盘烂尾楼问题,2,0,6,1
A市泉塘上下班通勤困难，可否增开公交线路？,2,0,6,1
请问长株潭融城下的暮坪大桥何时开工建设,2,0,6,1
A7县行政服务中心无直达A市火车南站的公交车,2,0,6,1
A7县东六路星城国际消防设施陈旧无人检修,2,0,6,1
希望A市也能有独生子女护理假,2,0,6,1
A市财富名园空地多年到底准备怎么建设？,2,0,6,1
A市润和国际广场置业顾问欺诈消费者,2,0,6,1
A市恒大御景天下多个1楼住户，毁坏小区公用绿地（图）,2,0,6,1
A7县橄榄城小区的孩子到泉塘小学上学不方便,1,0,6,1
反映A市A5区拆迁后政府未给老百姓解决的众多遗留问题,1,0,6,1
希望A市公共交通支付能支持微信、支付宝,1,0,6,1
A市香海西岸露天菜市场严重影响环境和卫生,1,0,6,1
A市大汉金桥国家家居建材城未竣工验收就违法投入使用,1,0,6,1
A7县漓楚路和东六路十字路口照明灯光太暗,1,0,6,1
A7县开元东路城东与睿城小区之间能否设置人行天桥,1,0,6,1
向西地省富惠天下夏某追要欠款,1,0,6,1
请求解决A7县漓楚路与东六路上下班时间交通拥堵的问题,1,0,6,1
A7县影珠山公寓停水带给居民不方便,1,0,6,1
A5区教育局学区划分不科学、缺乏数据依据、工作程序不合理,1,0,6,1
A7县星沙大道每天晚上飙车声音都很大,1,0,6,1
A3区谷山庭院14栋社区艾瑞弗艺术培训学校涉黑,1,0,6,1
A7县松雅湖东北角项目建设噪音极大！,1,0,6,1
反映A市洋湖湿地公园环境问题,1,0,6,1
咨询去年A7县新增的两条公交线路进度,1,0,6,1
A3区滨江实验中学要求家长出资为学校安装空调,0,0,6,1
A市卫生职业学院为何还没搬至A8县新校区,0,0,6,1
驾考学员未学习，A5区正合驾校不退费,0,0,6,1
A7县家和院小区电动车乱停乱放成最大消防隐患,0,0,6,1
A1区扬帆夜宵堵死消防通道,0,0,6,1
A8县市楚都职业技术学校组织未成年学生外出打工合理吗？,0,0,6,1
A7县中茂城格子铺企业老板欠款不还,0,0,6,1
A市荣泰商业广场装修成本不透明,0,0,6,1
A市人民路曙光路到朝阳路段什么时候可以拓宽,0,0,6,1
A6区汽车站公交站站牌需要合理整治规划,0,0,6,1
请求A市公开中南大宗公司2018年度税务收费标准,0,0,6,1
我觉得长株潭101公交站点的选址不合理,0,0,6,1
A1区新安安置小区6栋三单元的下水井堵塞了,0,0,6,1
A市地铁2号线楚江中路2A出口方向桥洞下臭不可闻,0,0,6,1
由A市汽车南站到B7县的大巴经常在高速路口就要乘客下车,0,0,6,1
请公开A1区东成大厦的相关规划文件,0,0,6,1
请解决A7县黄兴镇蓝田新村农村用水问题,0,0,6,1
投诉A2区城市森林小区物业违章搭建电动车棚,0,0,6,1
A5区香樟路德馨园小区一麻将馆长期营业至深夜1-2点,0,0,6,1
反映A市拆迁后政府未给老百姓解决的众多遗留问题,0,0,6,1
A2区申奥美域小区麻将馆扰民,0,0,6,1
投诉A市A4区政府方圆3公里无一所公立幼儿园,0,0,6,1
请查处西地省农机局违法移交改制企业土地证事件！,0,0,6,1
A6区月亮岛街道乾源国际广场烧烤扰民,0,0,6,1
A3区一小学门口违规建设的白咀鹤停车场违规，投诉后只有回复而并未落实,0,0,6,1
A1区紫来阁小区公共用地被侵占,0,0,6,1
A市规划局怎么能在德雅苑小区里建加油站,0,0,6,1
A1区A2区华庭物业把每层楼的消防通道门都锁住了,0,0,6,1
投诉A3区业振城二期小区幼儿园未按时交付使用！,0,0,6,1
请公开A1区东成大厦的相关规划文件,0,0,6,1
A6区杨峰路行人出行存在安全隐患,0,0,6,1
A7县恒大翡翠华庭西面地通出入口有很多车违章,0,0,6,1
A市退休教师教龄补贴到底该不该发,0,0,6,1
请A5区砂子塘东澜湾小学落实减负政策,0,0,6,1
A5区上市开发商西地省盐业擅自更改建设工程规划,0,0,6,1
请求解决A市渔民转产转业的遗留问题,0,0,6,1
A7县东业苹果社区商铺经常被物业停水,0,0,6,1
A7县星通15路公交车非常不准时,0,0,6,1
A7县三一大道下匝道左拐进锦绣路绿灯通行时间太短,0,0,6,1
咨询土地所有权问题,0,0,6,1
A市政云塘路怎么还没修好,0,0,6,1
建议在A3区黄鹤路与南二环辅路交叉路口设地下人行通道,0,0,6,1
对A市公交线路的整体建议,0,0,6,1
请不要让A市聚捷飞迈网络有限公司毁了A市的形象,0,0,6,1
咨询A市直系亲属之间赠与商品房的相关问题,0,0,6,1
A7县星沙锦璨家园群租房扰民,0,0,6,1
再次反映A市金茂府一房二卖,0,0,6,1
A市楚江路辅道交通信号灯设置不合规吧,0,0,6,1
A7县东六路中国铁建国际城二期15栋违规封闭天井私改住房,0,0,6,1
A市加油，共同努力——强烈建议对机场高速进行提质改造,0,0,6,1
A市青竹湖曦园开发商强买强卖，拒不退还购房首付款,0,0,6,1
A7县北山镇妇联组织的育婴员培训班何时开班,0,0,6,1
A市青竹湖曦园天骄楼盘有配套自建公立小学，是真的吗？,0,0,6,1
请求拉通A4区学堂园路到陡岭路,0,0,6,1
三问A市越卓集团，我的物业费在哪里？,0,0,6,1
请领导坚决取缔A5区茶园坡新华园小区的麻将馆,0,0,6,1
请A2区教育局放宽学区房“实际居住”条件,0,0,6,1
A8县外出打工的农民，渴望将户口迁回原籍！,0,0,6,1
A市善化国际居民区噪音大,0,0,6,1
A3区岳鞍阁小区一期十多家歌厅十多家歌厅每晚歌声嘈杂,0,0,6,1
A市也会全面实行垃圾分类吗？,0,0,6,1
A3区桐梓坡西路可可小城长期停水得不到解决,0,0,6,1
请求A市公开中南大宗公司2018年度税务收费标准,0,0,6,1
A7县特立中学操场何时节假日对外开放？,0,0,6,1
A7县何时执行通知要求？解决家长“3点半”难题,0,0,6,1
A6区桑梓路与金甲冲路交汇路段应加快开工建设,0,0,6,1
A市城南故事楼下烧烤店深夜扰民,0,0,6,1
A2区晏家塘老旧小区楼顶垃圾成堆,0,0,6,1
A6区漫时光酒店无证经营扰民,0,0,6,1
请问A市什么时候能普及5G网络？,0,0,6,1
请督促A7县星沙街道办、县住建局积极处理恒大翡翠华庭相关问题,0,0,6,1
A7县星沙广泰家园起火，安全隐患非常大,0,0,6,1
投诉A市金科物业公司无故辞退员工，拒不支付工资,0,0,6,1
西地省未成年犯管教所数年未曾调整住房公积金缴存额，今年会调整吗？,0,0,6,1
A2区江南华府小区门口南二环环线噪音太大了,0,1,6,1
A2区长大建设集团福满新城彻夜施工扰民严重,0,0,6,1
A2区翡翠林居小区五、六栋餐饮门店油烟扰民！,0,0,6,1
A市望月湖小区麓山雅苑消防通道被堵,0,0,6,1
反映A5区洞井接到鸿运佳苑出行问题,0,0,6,1
A7县艾美潇楚电梯有安全隐患,0,0,6,1
A市星创教育无证办学,0,0,6,1
投诉A3区梅岭国际物业擅自在小区7栋旁建垃圾站,0,0,6,1
罔顾民意，A市楚江新区梅溪湖街道杨美公园建变电站真的合理吗？,0,0,6,1
请求督促A1区政府解决我家居住权,0,0,6,1
反映A3区许家洲路违规停车等问题,0,0,6,1
请不要让A市聚捷飞迈网络有限公司毁了A市的形象,0,0,6,1
A市规划局在德雅苑生活小区违建加油站,0,0,6,1
A7县星沙镇架子搭建4个月了，没有工人施工,0,0,6,1
A2区青园街道、友谊社区到底心向何方？,0,0,6,1
A市非户籍地非缴存地购房提取公积金的疑问,0,0,6,1
A市木莲路与新姚路交界处红绿灯有安全问题,0,0,6,1
指出A3区溁湾镇通程商业广场处红绿灯问题,0,0,6,1
A5区新A1区之都佳苑小区规划随意改变，增加违建,0,0,6,1
望能够解决去A市各大医院看病大部分医院收停车费的问题,0,0,6,1
A市杏林小区旁有一处工地半夜施工扰民,0,0,6,1
A4区双拥街科大北苑路段没有路灯,0,0,6,1
西地省富惠天下夏某拖欠的款项何时能归还？,0,0,6,1
建议城际铁路在早高峰阶段增加市内停靠站点及次数,0,0,6,1
A7县春华镇武塘村坝湾组入户路杂草长到路上了,0,0,6,1
A市楚江南路唯一一趟公交车139又停了！,0,0,6,1
A5区楚水郡小区居民楼毛胚房无任何隔音措施开设麻将馆，严重扰民,0,0,6,1
投诉A市中交中央公园绿城物业违规收费,0,0,6,1
新购A市澳海澜庭房屋水压无法满足生活需求，多次寻求相关部门任无法解决,0,0,6,1
A市A2区先锋街道大托路碧云路口红绿灯故障,0,0,6,1
建议在A7县东八线往北至开慧镇路段增设加油站,16,0,5,10.0
关于拆除聚美龙楚在西地省商学院宿舍旁安装变压器的请求,2,2,4,20.0
A市黑石铺街道拆违控违近一年，违章建筑何时能拆除？,0,0,3,29.0
投诉A3区佳境小区22栋业主侵占绿地,0,0,5,8.0
A7县路口镇新镇区项目为何依旧没有任何动工迹象,0,1,3,27.0
A4区A1区路辅路右转去三一大道没有非机动车道,0,0,3,27.0
A8县夏铎铺亮之星企业偷排废气,1,0,4,17.0
A7县泉塘安置小区六楼水压严重不够,0,0,4,17.0
请拆除A7县星沙一区86栋东边住户楼顶违建,5,0,3,26.0
A2区水电八局几十家保健品，包括寿淘等又在疯狂织组会销,0,0,2,36.0
请A4区监察委员会重视解决拆迁户认定等问题,10,0,4,15.0
反映A7县204公交车的两点问题,6,0,5,5.0
A7县新长海车库漏水什么时候可以停止！,4,0,4,15.0
A9市河畔数万业主每天在重油烟中度日,0,1,2,35.0
建议合并A市公交系统，为市民真正提供方便,2,0,4,14.0
请重视A5区跳马镇杨林新村贺嘉岭组平安出行路,2,0,4,14.0
A市农商行乱扣月供，西地省银保监局20个月不作为,0,0,5,4.0
中国工商银行西地省金融培训学校A6区校区的油烟机问题怎么就解决不了？,0,0,2,33.0
穿A市城而过的京港澳高速（长楚高速）什么时候可以外迁至远郊？,29,0,5,1
咨询A市计算机技术与软件专业技术资格与职称对应与评定问题,2,0,2,32.0
A7县金贸路什么时候拓宽并白改黑？,21,2,4,11.0
举报A市A3区柏家塘小区私营ktv严重扰民,16,0,5,1
A7县泉塘泉星物流园a区7栋锦和超市后街依然摆放游戏赌博机,11,0,5,1
A7县星沙镇4区聚鑫大厦区域高楼层供水不足,7,0,5,1
A7县泉星社区泉星2号生活垃圾站散发恶臭,6,0,5,1
A7县春华镇麻将馆好多，请管一管,6,0,5,1
A2区瑞都商务酒店二楼茶室严重噪音扰民,0,0,2,31.0
A市梅溪湖润芳园小区G1栋1单元G2栋1单元公共架空层被人霸占,5,0,5,1
A7县教育部门拖欠2018年度下半年的教育教学奖励,5,0,5,1
建议解决A市金星路佑母塘路十字路口人行天桥的问题,5,0,5,1
A市水岸天际小区6栋2单元一楼非法占用公共绿道搭建餐馆,5,0,5,1.0
A7县泉塘街道泉星物流园a区7栋后街墙角井盖裂开了,5,0,5,1
A市沙坪老街上有无证理疗馆骗取老人钱财,1,0,3,21.0
A市美麓阳光项目处遗问题久久未解决,4,0,5,1
A市时代年华小区对于业主封闭阳台收取质量保证金1000/户，合理吗？,4,0,5,1
A市十五中校园及周边环境需治理,4,0,5,1
A市天健城第三期凌晨2点还在施工，严重扰民,4,3,5,1
再次举报A2区“食在我家”饭店油烟扰民,4,0,5,1
关于A7县恒基凯旋门万婴格林幼儿园办普惠园的咨询,4,1,5,1
建议A7县通星公交接入智慧城市系统,3,0,5,1
A5区砂子塘万境水岸小学堵车，交通不安全,3,0,5,1
A市华鑫驾校严重违规，非法索取押金,3,0,5,1
关于A7县小塘路以东、阳高路以南空地的相关疑问及建议,3,0,5,1
为何西地省科技大学没有派遣证？,3,0,5,1
2019年教师招聘即将开始，请A7县教育局解答下广大网友热切关注的问题,3,0,5,1
A市银杉北路常年道路破损、治安混乱，基础设施薄弱,3,0,5,1
A市地铁五一广场站一二号线换乘的建议,2,0,5,1
四问A6区景城苑的问题何时能得到解决,2,0,5,1
建议将A7县泉塘招商局物流公司和中国铁建重工外迁,2,0,5,1
咨询A7县农村土地确权颁证工作的证书发放问题,2,0,5,1
请求落实2017年和2018年A市下区教职工单位文明奖的发放,2,0,5,1
请整治一下A市汽车北站的路霸,2,0,5,1
何时解决A7县集镇麻将馆的问题,2,0,5,1
A市时代年华项目被责令限期整改，请问是否真的实施？,2,0,5,1
京广铁路A4区段沿线噪音扰民严重,2,0,5,1
请彻查A4区青竹湖镇广胜村村委成员贪腐集体经济财产的案件,2,0,5,1
A7县星沙时代星城小区雅岛咖啡占用公共绿化放置危险化学品,2,0,5,1
咨询A市经开区力都大厦内的农贸市场有关问题,2,0,5,1
A市倾城小区没有规划人行道，导致行人常年走马路中间,2,0,5,1
A3区蒲洋项目老板拖欠工程款,2,0,5,1
A2区A1区南路每晚都有大货车飞驰鸣笛,0,0,4,11.0
A7县榔梨综合市场A4栋烤肉店油烟扰民,1,0,5,1
请依法解决A1区美漾酒店无证违法施工事件,1,0,5,1
A7县809路方略潇邦站无站牌，公交站牌更新不及时,1,0,5,1
A市鑫邮小区水电分离改造为何不能享受免费政策？,1,0,5,1
A2区中建A1区嘉苑业主有房有户却不能就读仰天湖小学,1,0,5,1
A市（骧龙）井湾子机动车检测站乱收费,1,0,5,1
A市银杉路和银星路交汇口红绿灯常年都是摆设,1,0,5,1
A2区楚府东苑消防通道封闭,1,1,5,1
质疑A市保利大都汇学校用地调规听证会的相关事项,1,0,5,1
A市A5区明昇壹城小区越凯物业聘用无证保安人员,1,0,5,1
举报A2区水墨林溪开发商暗箱操作房价,1,0,5,1
恒大无良地产商欺诈业主，将漏水的豪装房交付业主,1,0,5,1
A1区朝阳街道解放东路二里牌向韶村马路市场死灰复燃,1,0,5,1
举报A7县天华路天童美语无证办学,1,0,5,1
西地省银保监局拒不查处A市农商行的系统漏洞,1,0,5,1
期盼A市星沙15路车在上班高峰期能准时发车,1,0,5,1
A7县红树湾小区用透明胶维修电梯，有安全可言吗？,1,0,5,1
A7县星沙街道碧桂园中央花园违章建筑严重，无人管,1,0,5,1
A4区北辰的教育资源太紧张了,1,0,5,1
A3区西地省工商大学附近公交车站存在巨大安全隐患,1,0,5,1
A市A3区北京御园10栋2单元2018年10月弱电井起火,0,0,5,1
A2区F市朝阳烧烤龙湾店老板打伤我，还在逍遥法外,0,0,5,1
A2区南托街道南托岭社区“金麦汇”KTV在居民楼中非法营业,0,0,5,1
A市江滨家园业主的产权证在哪,0,0,5,1
请A市机关事务局给市民留一条人行道,0,0,5,1
反映关于A6区晟通城有难闻气味，附近企业夜晚偷排问题,0,0,5,1
A市的车用天然气价格太昂贵了！,0,0,5,1
A市中海梅溪湖壹号业主私搭乱建,0,0,5,1
A7县外来务工人员子女入学需要哪些资料？,0,0,5,1
A市网约车司机报名网约车驾驶员考试却迟迟收不到考试通知,0,0,5,1
反映A1区隆平高科拆迁项目中的违规行为,0,0,5,1
呼吁查处西地省农机局违规入股非法集资事件,0,0,5,1
A市凯达园小区修路，噪音扰民,0,0,5,1
A4区伍家岭新码头农机公司宿舍居民请求棚改无果,0,0,5,1
反映A1区古汉路马王堆邮政宿舍三供一业改造工程的问题,0,0,5,1
西地省山千制药机械股份有限公司拖欠A7县工人工资近半年,0,0,5,1
A6区星月绿洲小区门面餐饮商铺油烟“四处飘散”,0,0,5,1
A7县草莓街区问题重重，为何仍无人问津,0,0,5,1
外地的老人投靠A市子女如何养老,0,0,5,1
建议A市建设楚江历史走廊，打造必游景观名片,0,0,5,1
A6区金悦花园的生命通道在哪里？,0,0,5,1
在A市金茂悦二期艺棵树培训学校交的学费要不回,0,0,5,1
请A市机关事务局给市民留一条人行道,0,0,5,1
A4区天健盛世A1区三期长期施工到凌晨三四点,0,0,5,1
投诉A市A5区中航城开发商擅自变更规划，毁坏园林绿化,0,0,5,1
A4区四方坪胜利社区拆迁，居民被强制要求违规分房,0,0,5,1
政府承诺监督网贷平台良性退出，湖楚财富还未兑付,0,0,5,1
A3区城管称餐饮油烟管道必须装一楼公共天井，请出示审批手续,0,1,5,1
A5区曲塘路红墅湾小区违建严重,0,0,5,1
A1区解放西路老地方餐饮管理有限公司没有消防安检证却能正常营业,0,0,5,1
A3区馨香雅苑8栋有几个业主长期霸凌小区,0,0,5,1
A3区车塘河路公园尚小区物业强制买车位,0,0,5,1
投诉A市一中高一年级通过家委会各种收费,0,0,5,1
向A市惠富天下追要欠款,0,0,5,1
“A市财富名园空地多年”一帖回复后，开发商毫无动静,0,0,5,1
举报A8县市有人用量速国际区块链软件进行网络诈骗,0,0,5,1
A市民身份证丢失该如何查询身份证号码？,0,0,5,1
A2区云塘社区龙湾小学旁的垃圾中转站污染环境,0,0,5,1
举报西地省玖鼎能源环境科技公司涉嫌违法,0,0,5,1
A市A3区金岭小区内开KTV，怎么回事？,0,0,5,1
A3区桃花锦绣住宅小区内的液化气站很是扰民！,0,0,5,1
A3区枫华府第水改什么时候搞？,0,0,5,1
希望A市地铁能在A6区晟通城或者金桥国际设个站点,0,0,5,1
A市高新区公安局旁一工地深夜浇筑混凝土，噪音非常大,0,0,5,1
A3区教师招聘报名只给报考考生一次修改资料的机会,0,0,5,1
请在A市南站候车室里增设改签窗口,0,0,5,1
A市聚捷飞迈网络有限公司合同诈骗,0,0,5,1
A7县榔梨街道陶公庙社区老街上没有信号，居民生活不方便,0,0,5,1
A1区蓉芙华天酒店二楼楚水源足浴非法经营涉黄项目,0,0,5,1
A1区东方家园土地被贪，农民维权艰难,0,0,5,1
A1区古汉国际广场楼顶好多人种菜,0,0,5,1
A市很多驾校向求职者收取押金的行为盼打击,0,0,5,1
A7县紫晶城电梯屡次发生困扰事件,0,0,5,1
反映A1区东岸乡新安村八组拆迁问题,0,0,5,1
A市卓越中寰无故拒绝阻碍业主办理公积金组合贷,0,0,5,1
A3区建工象山国际楼盘经常开工到深夜凌晨,0,0,5,1
被西地省A8县三一重工违规开除的老员工维权,0,0,5,1
A市公交121路能否延长末班车时间？,0,0,5,1
A5区洞井街道欧莱雅郡2期复式楼顶违建问题愈发严重,0,0,5,1
A7县旺德府凯悦国际小区自成立以来，物业和业主矛盾不断,0,0,5,1
A1区碧云天大厦无良歌厅非法KTV歌厅，扰民,0,0,5,1
A市地铁四号线何时会试运营？,0,0,5,1
A3区东方红路嘉顺苑优莱克超市后面有老虎机,0,0,5,1
A市鑫天鑫城小区二次供水水质好差,0,0,5,1
A6区月亮岛街道社区卫生服务中心看病难排队久,0,0,5,1
A市灰汤旅游区乱象严重,0,0,5,1
A7县星沙灰埠小区同一首歌酒吧噪音扰民,0,0,5,1
A1区杨家山社区卫生局宿舍环境脏乱差,0,0,5,1
A市黄兴北路拆迁户的补偿金在何方？,0,0,5,1
A5区明昇壹城二期坑骗业主，请求领导解决业主问题！,0,0,5,1
A市曲塘路白沙湾嘉园渣土车带来的安全隐患和噪音污染，有人管管吗？,0,0,5,1
A7县松雅湖壹号土地使用期限到多久？,0,0,5,1
A4区大道黄泥圹段南北约1500米的路灯不亮,0,0,5,1
洪峰过境，希望A市加大防汛抗洪力度,0,0,5,1
A市梅溪湖城市热点垄断市场，装机不及时,0,0,5,1
A8县市水木天成朝庭小区的用电问题求解决,0,0,5,1
A5区学而思培优华盛花园培训点噪音扰民，影响居民生活,0,0,5,1
A市富基世纪公园不动产证一直未办,0,0,5,1
A7县星沙三区有店面噪音扰民,0,0,5,1
A8县紫荆城小区二期迟迟没有动工,0,0,5,1
